Datum,Meldung
2015-05-07,"Veranstaltung: Tübinger Mediendozentur: Miriam Meckel (Tübingen, 18.06.15)"
2015-05-07,"Veranstaltung: Wissen in Bewegung. Konstitution und Kommunikation wissenschaftlichen Wissens im Film (Karlsruhe, 11.-12.06.15)"
2015-05-07,"Veranstaltung: Images in the Making (Potsdam, 25.-26.06.15)"
2015-05-07,Hinweis: Neu auf der ZfM-Webseite
2015-05-07,Hinweis: IKKM Mentoring Gespräche
2015-05-07,"CFP: Move on! Mobility meets (little) resistances (Wien, 26.-28.11.15 // 30.06.15)"
2015-05-07,CFP: Crank up the Resolution: Cyberpunk in Visual/Virtual Media (01.08.15)
2015-05-07,CFP: Concepts of Simultaneity (20.06.15)
2015-05-07,"Veranstaltung: Post/Produktion. Bildpraktiken zwischen Film und Fotografie (Zürich, 27.-29.05.15)"
2015-05-07,Stellenausschreibung: Junior-Fellowship für PostdoktorandInnen am IKKM Weimar
2015-05-07,"Veranstaltung: Guest Lectures am Brandenburgischen Zentrum für Medienwissenschaften (Potsdam, 03.-16.06.15)"
2015-05-22,"CFP: Popular Culture - Serial Culture: Nineteenth-Century Serial Fictions in Transnational Perspective, 1830s-1860s (Siegen, April 2016 // 01.09.15)"
2015-05-22,Stellenausschreibung: W2-Professur für Medienwissenschaft an der Universität Konstanz
2015-05-22,Stellenausschreibung: Assistenz Filmwissenschaft an der Universität Zürich
2015-05-22,Stellenausschreibung: Lecturer Positions at University of East Anglia
2015-05-22,Stellenausschreibung: Geschäftsführung des Cinema Quadrat Mannheim
2015-05-22,"CFP: Verflechtungen II: Medien, Bildung und Wissen in der Hochschule (Braunschweig, 13.-15.10.15 //  30.06.15)"
2015-05-22,CFP Thing (05.07.15)
2015-05-22,CFP: Surveillance and Performance (15.10.15)
2015-05-22,CFP: Image Embodiment: New Perspectives of the Sensory Turn (01.08.15)
2015-05-22,CFP: Information Access and Control in an Age of Big Data (01.06.15)
2015-05-22,"Veranstaltung: Datenspuren: Big Data im Kontext von Kultur und Gesellschaft (Basel, 03.-04.07.15)"
2015-05-22,"Veranstaltung: Dis/appearing (Prag, 27.-29.05.15)"
2015-05-22,"Veranstaltung: Wissenskulturen im digitalen Zeitalter (Braunschweig, 26.05.-16.06.15)"
2015-05-22,"Veranstaltung: Land, Lense, Violence: Filmbilder moderner Massengewalt (Wien, 28.-30.05.15)"
2015-05-22,"Veranstaltung: Meta Games & Meta Gaming: Medien spielen - zu intermedialen Umwidmungen des Computerspiel(en)s (Köln, 18.06.15)"
2015-05-22,"Veranstaltung: Time-Space Dualiity Goes. Anonymous History of Toronto School Media Theory (Siegen, 26.05.15)"
2015-05-22,"Veranstaltung: Gehäuse: Mediale Einkapselungen (Paderborn, 21.-23.05.15)"
2015-05-22,"Veranstaltung: Imaginationen der Störung (Dresden, 18.-20.06.15)"
2015-05-29,Stellenausschreibung: W1-Professur für Bildtheorie Bauhaus-Universität Weimar
2015-05-29,"Veranstaltung: Treffen der AG Filmsoziologie in der Sektion Medien & Kommunikationssoziologie der DGS (Hamburg, 25.-27.06.2015)"
2015-05-29,Stellenausschreibung: Associate professor or tenure track assistant professor an der Universität Lausanne
2015-06-05,"Veranstaltung: Valenzen Fotografischen Zeigens (Braunschweig, 02.-03.07.15)"
2015-06-05,"Veranstaltung: Dealing with Climate Change. Calculus & Catastrophe in the Age of Simulation (Lüneburg, 25.-26.06.15)"
2015-06-05,"CFP: Move on! Mobility meets (little) resistances (Wien, 26.-28.11.15 // 30.06.15)"
2015-06-05,Hinweis: Aufruf zur Unterzeichnung einer Petition gegen Sparpläne hinsichtlich Bibliotheken
2015-06-05,CFP: Die Herstellung von Evidenz oder: Zum Phänomen interaktiver Web Dokumentationen (30.09.15)
2015-06-05,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in am IKKM der Bauhaus-Universität Weimar
2015-06-05,Stellenausschreibung: Three Year PhD Studentship Human Rights Film Festivals
2015-06-11,"GfM: Call For Papers ""Best Publication Award Gender & Medien"" 2015 (15.07.15)"
2015-06-11,Stellenausschreibung: Assistant Professor Film & Media Studies at Utrecht University
2015-06-11,Stellenausschreibung: Gastprofessur an der Universität Wien
2015-06-11,Stellenausschreibung: PhD Studentships with the Digital Cultures Research Centre at UWE Bristol
2015-06-11,"CFP: Shared Spaces, Shared Memories, Shared Visions (Newcastle, 05.11.15 // 02.09.15)"
2015-06-11,CFP: Visuelle Bildungsmedien (01.09.15)
2015-06-11,"Veranstaltung: Ostasiatische Ästhetik (Weimar, 27.-29.06.15)"
2015-06-11,Veranstaltung: Shifting Shapes. Kino als Formwandler (27.-29.08.15)
2015-06-11,"Veranstaltung: Die Machtanalyse nach Foucault: 40 Jahre ""Überwachen und Strafen"" (Wien, 18.-20.06.15)"
2015-06-11,"GfM: Was ist Mediengeschichte? (Paderborn, 26.-27.06.15)"
2015-06-11,"GfM: Profile: Individualisierung, Kollektivierung und Klassifizierung durch Daten (Braunschweig, 03.-04.07.15)"
2015-06-11,CFP: Handeln mit Symbolen (15.08.15)
2015-06-11,Stellenausschreibung: Lecturer in media and cultural studies at University of Sunderland
2015-06-18,"GfM: Das Nicht-Menschliche (Mainz, 11.07.15)"
2015-06-18,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Universität Bayreuth
2015-06-18,"Veranstaltung: Storyboarding: Bild - Text - Bewegung (Berlin, 03.-04-07.15)"
2015-06-18,"Veranstaltung: Wie ´einäugig´ ist die deutsche Medienberichterstattung zu Griechenland? Kultur- und medienwissenschaftliche Analysen (Dortmund, 26.06.15)"
2015-06-18,"Veranstaltung: Acting algorithms Was Regeln und Formeln aus Aufführungen machen (Hildesheim, 02.-04.06.15)"
2015-06-18,"Veranstaltung: Situationen. Situative Theorie und künstlerische Praxis (Kiel, 02.-04.07.15)"
2015-06-18,"Veranstaltung: Stardom and Genre Frameworks in World Cinema (Bremen, 15.-16.07.15)"
2015-06-18,"Veranstaltung: Doing Audio-Visual Media: Audiovisuelles Schreiben und Entwickeln in Film, Serie und Games (Marburg, 03.-04.07.15)"
2015-06-18,CFP: Connected Viewing: Multi-Platform Media in the Digital Era (31.07.15)
2015-06-18,Stellenausschreibung: Lecturer in Film Studies at Lancaster University
2015-06-18,Stellenausschreibung: Lehrkraft für besondere Aufgaben im Bereich Medienpraxis an der Universität Bayreuth
2015-06-18,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Universität Bayreuth
2015-06-18,Stellenausschreibung: Lecturer in Cinema and Television History at Leicester University
2015-06-18,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in oder Akademische Rätin/Akademischer Rat an der Universität Bayreuth
2015-06-18,Stellenausschreibung: Two MA Scholarships for Film and TV at Warwick University
2015-06-18,Stellenausschreibung: Lecturer in Media Theory at Birmingham School of Media
2015-06-18,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Friedrich-Schiller-Universität Jena
2015-06-25,Stellenausschreibung: W3-Professur für Medienkulturwissenschaft an der Universität Freiburg
2015-06-25,"CFP: Sherlock Holmes Fandom, Sherlockiana, and the Great Game (01.03.16)"
2015-06-25,Stellenausschreibung: Wissenschaftliche/r Mitarbeiter/in an der Universität Bayreuth
2015-07-03,GfM: Vorstand trauert um früheren Vorstand
2015-07-03,"Veranstaltung: Un/Stable Infrastructures (Lüneburg, 08.07.15)"
2015-07-03,"CFP: Seriality Seriality Seriality. The Many Lives of the Field That Isn&#39;t One (Berlin, 22.-24.06.16 // 31.10.15)"
2015-07-03,Stellenausschreibung: Zwei Doktorand/innen-Stellen am Seminar für Medienwissenschaft der Universität Basel
2015-07-03,Stellenausschreibung: Associate Professor in Film Studies at the Norwegian University of Science and Technology
2015-07-03,Stellenausschreibung: Museumsmitarbeiter/in in der Deutschen Nationalbibliothek Leipzig
2015-07-03,Stellenausschreibung: W3-Professur für Medienkulturwissenschaft an der Universität Freiburg
2015-07-03,Stellenausschreibung: Mitarbeiter/in in der Geschäftsstelle des Deutschen Filminstituts
2015-07-03,"CFP: ""Perspektiven"" in MEDIENwissenschaft: Rezensionen | Reviews 01/2016 (01.08.15)"
2015-07-03,"CFP: #Lesen. Transformationen traditioneller Rezeptionskonzepte im digitalen Zeitalter (Göttingen, 29.09-01.10.16 // 30.09.15)"
2015-07-03,Stellenausschreibung: Diverse Stellen im Projekt ERC Advanced Grant FilmColors an der Universität Zürich
2015-07-10,"Veranstaltung: Martial Arts & Media Culture (Köln, 17.07.15)"
2015-07-10,"Veranstaltung: X. Symposium zur Filmmusikforschung - Identität und Filmmusik (Kiel, 16.-18.07.15)"
2015-07-10,"Veranstaltung: Summer School: Zur Erfindungsgeschichte der Partizipation (Konstanz, 17.-21.07.15)"
2015-07-10,"Stellenausschreibung: Research Associate at ""Configuring Sociality. The Production of Online Anonymity Regimes"" at Leuphana University Lüneburg"
2015-07-10,"Stellenausschreibung: Wissenschaftliche Mitarbeiter/innen an den Hochschulen für Medien, Kommunikation und Wirtschaft Berlin und Köln"
2015-07-10,"CFP: Film and History: The Korean Example (London, 05.-06.11.15 // 03.08.15)"
2015-07-10,CFP: Together While Apart: Mediating Relationships (01.09.15)
